model,year,primary_source,official_code,local_commit,input_modalities,training_data,reported_scale,split_protocol,headline_result,main_strength,critical_limit_for_our_claim,implementation_role,reported_result_status,same_data_directly_comparable,reproduction_status,algorithm_collision_with_eqir,required_action
DTIAM,2025,https://doi.org/10.1038/s41467-025-57828-0,https://github.com/CSUBioGroup/DTIAM,61d68b8148a86b2aea657a3e9d707a491de70ad8,SMILES/molecular graph; protein sequence; self-supervised BerMol and protein LM; AutoML,DTI: Yamanishi_08 and Hetionet; DTA: Davis/KIBA; MoA: TTD Activation/Inhibition; BerMol pretraining: GuacaMol 1.6M,Yamanishi 791 drugs/989 targets/5127 positives; Hetionet 1384/5763/49942; negatives 1:10,10-fold DTI warm/drug-cold/target-cold; 5-fold DTA and MoA,"Hetionet AUPR warm .808, drug-cold .529, target-cold .614; Yamanishi warm AUPR .931","large label-free pretraining, multiple tasks, experimentally checked screening","no strict double-cold, scaffold-cluster, sequence-homology-cluster or temporal benchmark; target-cold Hetionet below KGE_NFM",required public comparator and representation-pretraining reference,audited in frozen V1,SEE critical_limit_for_our_claim,see local_commit and implementation_role,historical comparator; see V2 additions for closest 2025-2026 collisions,required public comparator and representation-pretraining reference
SCOPE-DTI,2025,https://pubmed.ncbi.nlm.nih.gov/41390462/,https://github.com/Yigang-Chen/Lightweight-SCOPE-DTI-for-Inference,af8a55345f9e6b2bb325c959cd6b43a5413ca652,2D/3D compound graph; protein 3D graph; bilinear attention,"13 repositories: ChEMBL, PubChem, DrugBank, BindingDB, DrugCentral, TTD, Pharos, PROMISCUOUS, GtoPdb, Human, BioSNAP, KIBA, Davis",up to 100x Human; local official inference vocabulary 4893 targets and 25 checkpoints,strict semi-inductive compound split 7:1:2; target-level label balancing; five independent runs,paper reports superiority on BindingDB/Human/KIBA/SCOPE and experimental natural-product target validation,large multi-source human dataset and explicit target-level bias control,"semi-inductive drug-cold, not unseen-target or double-cold; public-source overlap must be audited before external validation",highest-priority existing-checkpoint comparator for known target vocabulary,audited in frozen V1,SEE critical_limit_for_our_claim,see local_commit and implementation_role,historical comparator; see V2 additions for closest 2025-2026 collisions,highest-priority existing-checkpoint comparator for known target vocabulary
EviDTI,2025,https://doi.org/10.1038/s41467-025-62235-6,https://github.com/zhaoyanpeng208/EviDTI,8734bd7278edb2453c76d3072f292fa19f152802,ProtTrans; MG-BERT 2D; GeoGNN 3D; evidential output,"DrugBank 5.1.5, Davis, KIBA",DrugBank 6148 drugs/4085 targets/16531 positives plus 16531 shuffled negatives,random 8:1:1; drug-cold 10% held-out drugs; small 2022 FDA OOD set,"drug-cold ACC .7996, recall .8120, F1 .7961, MCC .5997, AUC .8669",prediction uncertainty and selective experimental prioritization,randomly generated negatives; no target/double cold; paper explicitly notes mutant discrimination limitation,uncertainty baseline; do not reuse random-negative headline as direct comparison,audited in frozen V1,SEE critical_limit_for_our_claim,see local_commit and implementation_role,historical comparator; see V2 additions for closest 2025-2026 collisions,uncertainty baseline; do not reuse random-negative headline as direct comparison
GS-DTI,2025,https://doi.org/10.1093/bioinformatics/btaf445,https://github.com/purvavideha/GSDTI,868efff7d7b678f3773a59acfa1fda11f1c294f6,KPGT drug graph; ESM-2; ESMFold protein graph; contrastive learning,BindingDB Kd via TDC; independent Davis/BioSNAP,9833 drugs/1235 proteins; 8846 positives/33238 negatives; proteins <=1000 aa,BindingDB 5-fold; independent Davis overall/drug-cold/target-cold/double-cold,Davis drug-cold BACC .857 and MCC .668; paper reports >10% MCC gain in double-cold,"strong cross-domain cold-start, protein structure and pocket interpretability",kinase-heavy independent benchmark and length exclusion; expensive structure preprocessing,highest-priority strict cold-start deep comparator,audited in frozen V1,SEE critical_limit_for_our_claim,see local_commit and implementation_role,historical comparator; see V2 additions for closest 2025-2026 collisions,highest-priority strict cold-start deep comparator
SP-DTI,2025,https://doi.org/10.1093/bioinformatics/btaf011,https://github.com/Steven51516/SP-DTI,3f487a26eeb117711d9e9111ee7c44828fa194f4,ChemBERTa; ESM; AlphaFold protein graph; CAVIAR subpockets; token interaction,BioSNAP and Davis using MolTrans/DrugBAN splits,BioSNAP 4510 drugs/2181 targets/13741 positives plus equal sampled negatives; Davis 68/379/1506 positives/9597 negatives,"random, unseen drug, unseen protein and cross-domain",BioSNAP random AUROC .931 and AUPRC .930; reported gains in unseen-protein/cross-domain,subpocket granularity and residue/structure-aware interaction,requires predicted pocket for every target and sampled unknown negatives; incompatible with the 46 no-experimental-pocket branch unless missing-modality routing exists,structure expert and pocket-available ablation comparator,audited in frozen V1,SEE critical_limit_for_our_claim,see local_commit and implementation_role,historical comparator; see V2 additions for closest 2025-2026 collisions,structure expert and pocket-available ablation comparator
DrugLAMP,2024,https://doi.org/10.1093/bioinformatics/btae693,https://github.com/Lzcstan/DrugLAMP,d4f124bd276a20aec0d24676d79f13bd1939b219,"chemical/protein feature extractors plus pretrained LMs, pocket-guided co-attention, cross-model contrastive learning","BindingDB, BioSNAP, Human and Kinase",official processed random/cold/cluster datasets are present locally,random; entity cold; chemical/protein cluster-start; five runs,Human cold AUROC/AUPRC .860/.814; BindingDB cluster .650/.588; BioSNAP cluster .739/.768,multimodal contrastive transfer under distribution shift,headline datasets and negative construction differ from ChEMBL37; no temporal or evidence-source holdout,cluster-split comparator and contrastive-transfer reference,audited in frozen V1,SEE critical_limit_for_our_claim,see local_commit and implementation_role,historical comparator; see V2 additions for closest 2025-2026 collisions,cluster-split comparator and contrastive-transfer reference
FusionDTI,2025,https://doi.org/10.18653/v1/2025.findings-emnlp.237,https://github.com/ZhaohanM/FusionDTI,8e4be3825063c36285828967a467fa0826e8cbf7,SELFIES/SMILES LM; amino-acid or Foldseek structure-aware sequence LM; token-level fusion,"BindingDB, BioSNAP and Human",uses public DrugBAN-format benchmark data,paper benchmark splits; input modality ablations,paper reports improved fine-grained DTI prediction; exact values must be reproduced from official split before comparison,fine-grained token fusion and optional structure-aware SaProt representation,no released checkpoint in local clone and large encoder cost; must reproduce rather than compare figure values across splits,token-fusion architecture reference and later public benchmark baseline,audited in frozen V1,SEE critical_limit_for_our_claim,see local_commit and implementation_role,historical comparator; see V2 additions for closest 2025-2026 collisions,token-fusion architecture reference and later public benchmark baseline
DrugCLIP,2023,https://openreview.net/forum?id=lAbCgNcxm7,https://github.com/THU-ATOM/Drug-The-Whole-Genome,9d0db73915219763b5bcc3b7de86d7c4edb5ed03,3D pocket and 3D molecule contrastive dense retrieval,protein-pocket/molecule structural pairs; DUD-E and LIT-PCBA evaluation; genome-scale pocket deployment,"local official whole-genome resources and weights 8.8 GB; screens 1,648,137 ChemDIV molecules per target",pocket retrieval benchmarks and prospective genome-wide virtual screening,not a sequence-wide binary DTI benchmark; prospective NET screen reported 15% hit rate,fast structure-conditioned retrieval and prospective physical-screen evidence,pocket-first and noncommercial model-output license; cannot cover no-pocket targets or serve as the sole DTI SOTA comparator,complementary physical expert only,audited in frozen V1,SEE critical_limit_for_our_claim,see local_commit and implementation_role,historical comparator; see V2 additions for closest 2025-2026 collisions,complementary physical expert only
DrugCMF,2026,https://doi.org/10.1609/aaai.v40i32.39972,https://github.com/deku-0621/DrugCMF,third_party/sota_dti_2026/DrugCMF @ 85100c59b3da6f4e5d3da624dea842f81321c74b,MolFormer and ProtT5 1D tokens; Uni-Mol and SaProt 3D-aware tokens; token-level interaction; learned modality confidence and cross-modal fusion,"BindingDB, BioSNAP and Human processed in DrugBAN-compatible format","released full files: BindingDB 49,189 rows/14,643 drugs/2,619 targets; BioSNAP 27,380/4,505/2,170; Human 6,718 rows/2,723 drugs/1,994 targets, including 731 duplicate pairs. Human cold contains 3,450/154/309 train/val/test rows; cluster source/target contain BindingDB 14,923/1,779 and BioSNAP 9,749/904","random splits are entity-warm; Human cold has zero train-to-val/test drug and target overlap but 12 exact val-test pair overlaps; BindingDB/BioSNAP cluster source and target have zero entity overlap, while official dataloader assigns the same target_test file to both validation and test",random BindingDB AUROC/AUPRC .968±.007/.960±.009 and BioSNAP .948±.004/.950±.003; cluster cross-domain BindingDB .702±.011/.636±.013 and BioSNAP .822±.013/.830±.024,explicit pair-specific modality-confidence estimation with strong cluster-domain results and a released repository,"confidence fusion is direct prior art, but released cluster evaluation reuses target_test for validation and checkpoint selection, Human cold has val-test pair overlap, and the official model requires all four embeddings with no exact missing-structure fallback; none is directly comparable to frozen S1-S5; the union of six released training sources canonically overlaps 1665 frozen BioMaster pairs with 109 label-set conflicts, so an externally trained checkpoint is source-overlap limited rather than independent validation",highest-priority 2026 confidence-fusion comparator and conceptual ablation boundary,exact primary-paper table values plus full audit of 19 externally released CSVs and official loader behavior,NO,"official code and all 19 released CSVs downloaded and audited; four MolFormer/ProtT5/Uni-Mol/SaProt embedding stores and same-data training have not been executed; exact sequence plus canonical-SMILES source-overlap audit completed for every S1-S5 test scope; released TCP confidence is an unbounded linear scalar, released gradient clipping occurs after optimizer.step, and released threshold sensitivity/specificity labels are reversed","HIGH for generic reliability weighting; does not implement label-independent eligibility, cross-fitted residual-only structure increment, or exact base fallback","run both code-faithful raw-confidence and sigmoid-bounded sensitivity controls; use pre-step gradient clipping for the primary fair comparison, retain released step-then-clip only as a diagnostic, and use standard positive-class threshold metric names"
TAPB,2025,https://doi.org/10.1038/s41467-025-66915-1,https://github.com/GaomingL1n/TAPB,third_party/sota_dti_2026/TAPB@ac846b1463ecf4a031b84bd6caacb57b25d50d4f,"SMILES and protein sequence; ESM-2 target encoder; residue deletion/mutation; confounder dictionary, alignment and backdoor adjustment","BindingDB, BioSNAP, Davis and Human public classification datasets","released main splits: BindingDB random 34,439/4,920/9,840 and cluster 14,928 source/7,114 target-train/1,779 target-test; BioSNAP random 19,224/2,747/5,493 and cluster 9,766/3,628/907; Davis random 2,086/3,006/6,011; Human cold 3,453/155/311 train/val/test rows","BindingDB/BioSNAP random are entity-warm; cluster source and target-test are entity-disjoint, but the official main.py assigns target_test to both validation and test and Trainer selects the checkpoint by validation AUROC; Human cold is train-disjoint on both entity axes but val-test overlaps 12 exact pairs",BioSNAP in-domain +2.3 AUROC/+2.2 AUPRC over PSICHIC; Davis +2.1 AUROC/+7.4 AUPRC; Human cold +2.0 AUROC/+2.8 AUPRC over DrugBAN; BindingDB cross-domain AUROC .676 and +5.8 AUPRC points over DrugBAN-da,causal formulation and intervention against target-prior memorization with extensive bias diagnostics,"target-prior intervention is direct prior art; released cluster code selects on the final test file; Davis has 126 train-val, 177 train-test and 246 val-test exact pair overlaps with 24/46/28 label-set conflicts; the released random/domain-transfer headlines are not frozen scaffold/homology double-cold; the union of six released dataset-specific training files canonically overlaps 1713 frozen BioMaster pairs with 109 label-set conflicts, so an external checkpoint is source-overlap limited unless its actual training source is audited",mandatory shortcut-control reference and target-randomization ablation,primary-paper headline deltas plus exact audit of all 20 released CSVs and official execution semantics,NO,"official code, all released CSVs and license cloned and audited at the frozen commit; pretrained MolFormer/ESM-2 weights, generated ESM-2 features/confounder stores and trained checkpoints are not released locally, and no corrected BioMaster-split port has been executed; exact-sequence plus canonical-SMILES source-overlap audit completed for all six released training files and every S1-S5 test scope","MEDIUM; collides with generic target debiasing, not with evidence-observation eligibility or residual-only structure increment","for a public checkpoint, identify its actual dataset-specific training file and report exact source overlap plus a source-disjoint sensitivity subset; for same-data comparison, retrain only within each frozen BioMaster TRAIN/VALID boundary with a distinct TEST and never pool released labels"
